id,file,Smell,Details,Smell_num
17,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\AppIcon\index.tsx,Enum Implicit Values,Lines 42-45,1
18,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\Checkbox\index.tsx,Enum Implicit Values,Lines 42-45,1
19,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\ColorSelector\index.tsx,Enum Implicit Values,Lines 42-45,1
41,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\Dropdown\index.tsx,Enum Implicit Values,Lines 42-45,1
42,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\EditableText\index.tsx,Enum Implicit Values,Lines 42-45,1
44,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\EditableTextSubComponent\index.tsx,Enum Implicit Values,Lines 42-45,1
47,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\IconSelector\index.tsx,Enum Implicit Values,Lines 42-45,1
48,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\Menu\index.tsx,Enum Implicit Values,Lines 42-45,1
50,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\MenuItem\index.tsx,Enum Implicit Values,Lines 42-45,1
51,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\RectangularSwitcher\index.tsx,Enum Implicit Values,Lines 42-45,1
53,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\Switcher\index.tsx,Enum Implicit Values,Lines 42-45,1
62,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\Text\index.tsx,Enum Implicit Values,Lines 42-45,1
64,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\Tooltip\index.tsx,Enum Implicit Values,Lines 42-45,1
75,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\TreeDropdown\index.tsx,Enum Implicit Values,Lines 42-45,1
88,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\widgets-old\src\Button\index.tsx,Enum Implicit Values,Lines 42-45,1
97,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\widgets-old\src\Dropdown\index.tsx,Enum Implicit Values,Lines 42-45,1
98,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\widgets-old\src\Dropdown\index.tsx,Enum Implicit Values,Lines 42-45,1
99,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\widgets-old\src\Icon\index.tsx,Enum Implicit Values,Lines 42-45,1
100,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\widgets-old\src\LabelWithTooltip\index.tsx,Enum Implicit Values,Lines 42-45,1
107,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\widgets-old\src\TableDropdown\index.tsx,Enum Implicit Values,Lines 42-45,1
108,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\widgets-old\src\Text\index.tsx,Enum Implicit Values,Lines 42-45,1
110,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\widgets-old\src\Tooltip\index.tsx,Enum Implicit Values,Lines 42-45,1
241,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\ActionCreator\Field\index.tsx,Enum Implicit Values,Lines 15-18,1
263,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\ApiResponseView.tsx,Enum Implicit Values,Lines 139-144,1
264,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\CodeEditor\BindingPrompt.tsx,Enum Implicit Values,Lines 139-144,1
265,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\CodeEditor\CodeEditor.test.tsx,Enum Implicit Values,Lines 139-144,1
266,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\CodeEditor\EvaluatedValuePopup.test.tsx,Enum Implicit Values,Lines 139-144,1
283,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\CodeEditor\index.test.tsx,Enum Implicit Values,Lines 139-144,1
292,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\Debugger\ContextualMenu.tsx,Enum Implicit Values,Lines 139-144,1
293,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\Debugger\DebugCTA.tsx,Enum Implicit Values,Lines 139-144,1
294,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\Debugger\DebuggerEntityLink.tsx,Enum Implicit Values,Lines 11-14,1
307,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\EditableText.tsx,Enum Implicit Values,Lines 18-21,1
371,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\JSResponseView.tsx,Enum Implicit Values,Lines 139-144,1
373,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\LoadingOverlayScreen.tsx,Enum Implicit Values,Lines 139-144,1
391,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\WidgetQueryGeneratorForm\CommonControls\DatasourceDropdown\useSource\useConnectToOptions.tsx,Enum Implicit Values,Lines 34-38,1
611,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\constants\DefaultTheme.tsx,Enum Implicit Values,Lines 42-45,1
613,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\constants\Layers.tsx,Enum Implicit Values,Lines 3-17,1
678,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\layoutSystems\common\widgetName\SettingsControl.tsx,Enum Implicit Values,Lines 10-15,1
776,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\pages\AppIDE\components\AppSettings\AppSettings.tsx,Enum Implicit Values,Lines 13-20,1
