id,file,Smell,Details,Smell_num
155,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\ce\pages\Applications\CreateNewAppsOption.tsx,Non Null Assertions,Lines 130-130,4
287,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\CodeEditor\index.tsx,Non Null Assertions,Lines 395-395,4
288,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\CodeEditor\index.tsx,Non Null Assertions,Lines 479-479,4
289,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\CodeEditor\index.tsx,Non Null Assertions,Lines 486-486,4
290,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\CodeEditor\index.tsx,Non Null Assertions,Lines 667-667,4
291,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\CodeEditor\index.tsx,Non Null Assertions,Lines 1345-1345,4
376,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\PartialImportExport\PartialExportModal\index.tsx,Non Null Assertions,Lines 270-270,4
381,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\PartialImportExport\PartialExportModal\WidgetsExport.test.tsx,Non Null Assertions,Lines 46-46,4
382,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\PartialImportExport\PartialExportModal\WidgetsExport.test.tsx,Non Null Assertions,Lines 63-63,4
412,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\DropDownControl\DropDownControl.test.tsx,Non Null Assertions,Lines 117-117,4
413,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\DropDownControl\DropDownControl.test.tsx,Non Null Assertions,Lines 149-149,4
414,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\DropDownControl\DropDownControl.test.tsx,Non Null Assertions,Lines 199-199,4
415,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\DropDownControl\DropDownControl.test.tsx,Non Null Assertions,Lines 291-291,4
416,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\DropDownControl\DropDownControl.test.tsx,Non Null Assertions,Lines 357-357,4
417,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\DropDownControl\DropDownControl.test.tsx,Non Null Assertions,Lines 369-369,4
418,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\DropDownControl\DropDownControl.test.tsx,Non Null Assertions,Lines 425-425,4
