id,file,Smell,Details,Smell_num
8,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads\src\Icon\loadables.tsx,Overly Flexible Props,Lines 10-12,5
14,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads\src\Select\Select.tsx,Overly Flexible Props,Lines 93-108,5
37,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\DraggableList\index.tsx,Overly Flexible Props,Lines 62-309,5
78,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\ads-old\src\utils\icon-loadables.tsx,Overly Flexible Props,Lines 10-12,5
80,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\widgets\src\components\Icon\src\FallbackIcon.tsx,Overly Flexible Props,Lines 5-15,5
82,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\widgets\src\testing\ColorGrid.tsx,Overly Flexible Props,Lines 57-201,5
113,D:\temp\ws-vscode\Qualidade\appsmith\app\client\packages\design-system\widgets-old\src\utils\icon-loadables.tsx,Overly Flexible Props,Lines 10-12,5
168,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\ce\pages\Applications\index.tsx,Overly Flexible Props,Lines 398-433,5
169,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\ce\pages\Applications\index.tsx,Overly Flexible Props,Lines 574-1001,5
170,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\ce\pages\Applications\index.tsx,Overly Flexible Props,Lines 1005-1139,5
173,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\ce\pages\Applications\ResourceListLoader.tsx,Overly Flexible Props,Lines 26-58,5
187,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\ce\pages\workspace\InviteUsersForm.tsx,Overly Flexible Props,Lines 283-551,5
238,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\designSystems\appsmith\CopyToClipBoard.tsx,Overly Flexible Props,Lines 24-62,5
256,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\ActionCreator\index.tsx,Overly Flexible Props,Lines 34-294,5
297,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\Debugger\ErrorLogs\components\LogCollapseData.tsx,Overly Flexible Props,Lines 69-113,5
324,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\form\fields\KeyValueFieldArray.tsx,Overly Flexible Props,Lines 132-265,5
334,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\form\fields\__tests__\KeyValueFieldArray.test.tsx,Overly Flexible Props,Lines 25-41,5
360,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\editorComponents\GlobalSearch\SearchResults.tsx,Overly Flexible Props,Lines 373-389,5
400,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\featureWalkthrough\index.tsx,Overly Flexible Props,Lines 29-129,5
424,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\DropDownControl\DropDownControl.test.tsx,Overly Flexible Props,Lines 24-26,5
430,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\DynamicInputTextControl.test.tsx,Overly Flexible Props,Lines 11-13,5
435,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\EntitySelectorControl.tsx,Overly Flexible Props,Lines 107-165,5
440,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\FieldArrayControl.tsx,Overly Flexible Props,Lines 49-118,5
441,D:\temp\ws-vscode\Qualidade\appsmith\app\client\src\components\formControls\FieldArrayControl.tsx,Overly Flexible Props,Lines 74-88,5
